a,b,completion
0,0,1
0,1,0
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,7
0,15,14
0,16,14
0,17,1
0,18,18
0,19,17
0,20,20
0,21,21
0,22,14
0,23,13
0,24,16
0,25,15
0,26,16
0,27,17
0,28,21
0,29,23
0,30,21
0,31,7
0,32,7
0,33,33
0,34,21
0,35,21
0,36,16
0,37,13
0,38,21
0,39,21
0,40,7
0,41,0
0,42,12
0,43,13
0,44,7
0,45,14
0,46,14
0,47,17
0,48,16
0,49,49
0,50,50
0,51,14
0,52,1
0,53,0
0,54,14
0,55,14
0,56,1
0,57,1
0,58,58
0,59,59
0,60,10
0,61,11
0,62,1
0,63,11
0,64,16
0,65,15
0,66,1
0,67,16
0,68,1
0,69,69
0,70,
0,71,58
0,72,1
0,73,17
0,74,17
0,75,1
0,76,1
0,77,15
0,78,1
0,79,-59
0,80,7
0,81,6
0,82,1
0,83,16
0,84,1
0,85,15
0,86,16
0,87,15
0,88,16
0,89,23
0,90,58
0,91,108
0,92,1
0,93,17
0,94,16
0,95,100
0,96,58
0,97,0
0,98,0
0,99,100
1,0,1
1,1,0
1,2,1
1,3,9
1,4,0
1,5,9
1,6,0
1,7,0
1,8,1
1,9,1
1,10,10
1,11,9
1,12,10
1,13,9
1,14,9
1,15,9
1,16,11
1,17,13
1,18,14
1,19,13
1,20,10
1,21,10
1,22,10
1,23,9
1,24,10
1,25,16
1,26,16
1,27,13
1,28,7
1,29,23
1,30,10
1,31,25
1,32,7
1,33,23
1,34,23
1,35,13
1,36,3
1,37,16
1,38,13
1,39,23
1,40,30
1,41,30
1,42,9
1,43,13
1,44,13
1,45,18
1,46,10
1,47,13
1,48,1
1,49,49
1,50,17
1,51,13
1,52,1
1,53,13
1,54,1
1,55,13
1,56,9
1,57,13
1,58,1
1,59,59
1,60,10
1,61,15
1,62,10
1,63,13
1,64,3
1,65,15
1,66,5
1,67,15
1,68,16
1,69,18
1,70,30
1,71,10
1,72,10
1,73,16
1,74,10
1,75,18
1,76,15
1,77,33
1,78,16
1,79,18
1,80,20
1,81,20
1,82,10
1,83,13
1,84,5
1,85,25
1,86,5
1,87,5
1,88,1
1,89,5
1,90,58
1,91,58
1,92,9
1,93,5
1,94,5
1,95,58
1,96,3
1,97,0
1,98,1
1,99,97
2,0,2
2,1,3
2,2,0
2,3,30
2,4,30
2,5,3
2,6,4
2,7,
2,8,6
2,9,3
2,10,8
2,11,10
2,12,6
2,13,9
2,14,6
2,15,10
2,16,12
2,17,11
2,18,16
2,19,17
2,20,16
2,21,10
2,22,16
2,23,17
2,24,16
2,25,17
2,26,16
2,27,17
2,28,16
2,29,23
2,30,20
2,31,26
2,32,16
2,33,17
2,34,16
2,35,23
2,36,24
2,37,23
2,38,16
2,39,23
2,40,30
2,41,30
2,42,16
2,43,17
2,44,18
2,45,17
2,46,16
2,47,37
2,48,16
2,49,29
2,50,30
2,51,30
2,52,30
2,53,30
2,54,20
2,55,30
2,56,40
2,57,37
2,58,18
2,59,59
2,60,38
2,61,26
2,62,40
2,63,38
2,64,30
2,65,25
2,66,30
2,67,33
2,68,38
2,69,29
2,70,30
2,71,5
2,72,30
2,73,33
2,74,30
2,75,30
2,76,30
2,77,33
2,78,30
2,79,29
2,80,30
2,81,31
2,82,30
2,83,17
2,84,30
2,85,85
2,86,16
2,87,5
2,88,88
2,89,79
2,90,58
2,91,30
2,92,30
2,93,30
2,94,30
2,95,30
2,96,30
2,97,33
2,98,30
2,99,33
3,0,3
3,1,33
3,2,97
3,3,97
3,4,33
3,5,33
3,6,33
3,7,
3,8,
3,9,13
3,10,7
3,11,7
3,12,10
3,13,11
3,14,11
3,15,11
3,16,11
3,17,11
3,18,13
3,19,17
3,20,11
3,21,11
3,22,13
3,23,17
3,24,11
3,25,17
3,26,17
3,27,17
3,28,13
3,29,17
3,30,17
3,31,27
3,32,17
3,33,17
3,34,23
3,35,23
3,36,23
3,37,27
3,38,17
3,39,27
3,40,33
3,41,37
3,42,37
3,43,17
3,44,17
3,45,17
3,46,17
3,47,37
3,48,17
3,49,17
3,50,37
3,51,17
3,52,31
3,53,17
3,54,33
3,55,43
3,56,33
3,57,37
3,58,33
3,59,23
3,60,37
3,61,17
3,62,17
3,63,17
3,64,33
3,65,17
3,66,33
3,67,33
3,68,33
3,69,17
3,70,29
3,71,41
3,72,41
3,73,43
3,74,17
3,75,43
3,76,43
3,77,43
3,78,43
3,79,49
3,80,40
3,81,41
3,82,17
3,83,17
3,84,33
3,85,37
3,86,33
3,87,37
3,88,43
3,89,43
3,90,37
3,91,37
3,92,43
3,93,37
3,94,43
3,95,43
3,96,43
3,97,43
3,98,33
3,99,43
4,0,4
4,1,0
4,2,11
4,3,11
4,4,11
4,5,43
4,6,42
4,7,4
4,8,6
4,9,8
4,10,8
4,11,5
4,12,10
4,13,11
4,14,11
4,15,11
4,16,11
4,17,11
4,18,12
4,19,11
4,20,12
4,21,11
4,22,14
4,23,11
4,24,11
4,25,11
4,26,14
4,27,13
4,28,14
4,29,11
4,30,11
4,31,13
4,32,10
4,33,11
4,34,11
4,35,13
4,36,11
4,37,13
4,38,16
4,39,23
4,40,18
4,41,38
4,42,11
4,43,11
4,44,13
4,45,13
4,46,12
4,47,13
4,48,12
4,49,13
4,50,42
4,51,41
4,52,42
4,53,11
4,54,42
4,55,43
4,56,44
4,57,43
4,58,44
4,59,43
4,60,44
4,61,41
4,62,42
4,63,11
4,64,11
4,65,11
4,66,16
4,67,43
4,68,16
4,69,43
4,70,42
4,71,41
4,72,11
4,73,43
4,74,11
4,75,43
4,76,43
4,77,53
4,78,46
4,79,56
4,80,56
4,81,16
4,82,56
4,83,43
4,84,56
4,85,56
4,86,43
4,87,5
4,88,56
4,89,8
4,90,58
4,91,58
4,92,49
4,93,43
4,94,43
4,95,44
4,96,44
4,97,46
4,98,44
4,99,56
5,0,5
5,1,0
5,2,
5,3,
5,4,13
5,5,
5,6,
5,7,
5,8,
5,9,7
5,10,0
5,11,7
5,12,11
5,13,7
5,14,7
5,15,13
5,16,13
5,17,13
5,18,13
5,19,13
5,20,20
5,21,13
5,22,13
5,23,13
5,24,13
5,25,13
5,26,13
5,27,13
5,28,21
5,29,13
5,30,23
5,31,27
5,32,13
5,33,23
5,34,23
5,35,23
5,36,23
5,37,13
5,38,13
5,39,23
5,40,20
5,41,13
5,42,12
5,43,13
5,44,13
5,45,13
5,46,14
5,47,13
5,48,13
5,49,13
5,50,13
5,51,13
5,52,13
5,53,13
5,54,13
5,55,14
5,56,
5,57,13
5,58,
5,59,7
5,60,7
5,61,
5,62,13
5,63,13
5,64,13
5,65,13
5,66,13
5,67,13
5,68,13
5,69,13
5,70,9
5,71,58
5,72,13
5,73,13
5,74,13
5,75,14
5,76,43
5,77,13
5,78,13
5,79,13
5,80,14
5,81,15
5,82,13
5,83,13
5,84,13
5,85,14
5,86,13
5,87,13
5,88,13
5,89,23
5,90,58
5,91,58
5,92,30
5,93,13
5,94,17
5,95,28
5,96,
5,97,58
5,98,57
5,99,56
6,0,0
6,1,10
6,2,13
6,3,13
6,4,13
6,5,13
6,6,
6,7,13
6,8,14
6,9,13
6,10,18
6,11,9
6,12,58
6,13,58
6,14,13
6,15,13
6,16,13
6,17,13
6,18,13
6,19,13
6,20,14
6,21,13
6,22,13
6,23,13
6,24,13
6,25,13
6,26,13
6,27,13
6,28,21
6,29,13
6,30,14
6,31,13
6,32,14
6,33,17
6,34,17
6,35,13
6,36,13
6,37,13
6,38,13
6,39,13
6,40,14
6,41,13
6,42,13
6,43,13
6,44,13
6,45,13
6,46,14
6,47,13
6,48,14
6,49,13
6,50,14
6,51,13
6,52,14
6,53,14
6,54,14
6,55,14
6,56,14
6,57,13
6,58,1
6,59,13
6,60,14
6,61,13
6,62,14
6,63,13
6,64,13
6,65,13
6,66,14
6,67,13
6,68,13
6,69,13
6,70,14
6,71,14
6,72,14
6,73,13
6,74,13
6,75,14
6,76,14
6,77,13
6,78,13
6,79,13
6,80,14
6,81,21
6,82,14
6,83,13
6,84,13
6,85,14
6,86,13
6,87,13
6,88,13
6,89,13
6,90,58
6,91,13
6,92,14
6,93,13
6,94,58
6,95,58
6,96,58
6,97,58
6,98,43
6,99,58
7,0,7
7,1,37
7,2,13
7,3,13
7,4,13
7,5,13
7,6,53
7,7,13
7,8,56
7,9,13
7,10,7
7,11,13
7,12,11
7,13,11
7,14,11
7,15,13
7,16,13
7,17,13
7,18,13
7,19,13
7,20,13
7,21,13
7,22,13
7,23,13
7,24,13
7,25,13
7,26,13
7,27,13
7,28,13
7,29,23
7,30,13
7,31,13
7,32,13
7,33,21
7,34,13
7,35,13
7,36,13
7,37,23
7,38,23
7,39,23
7,40,23
7,41,13
7,42,13
7,43,13
7,44,13
7,45,13
7,46,13
7,47,13
7,48,13
7,49,13
7,50,13
7,51,13
7,52,13
7,53,13
7,54,11
7,55,13
7,56,13
7,57,43
7,58,43
7,59,53
7,60,53
7,61,13
7,62,13
7,63,13
7,64,53
7,65,13
7,66,13
7,67,43
7,68,43
7,69,13
7,70,53
7,71,54
7,72,13
7,73,13
7,74,13
7,75,54
7,76,43
7,77,43
7,78,43
7,79,54
7,80,54
7,81,33
7,82,43
7,83,43
7,84,13
7,85,85
7,86,53
7,87,53
7,88,43
7,89,53
7,90,57
7,91,83
7,92,53
7,93,53
7,94,53
7,95,53
7,96,43
7,97,43
7,98,43
7,99,97
8,0,8
8,1,0
8,2,0
8,3,16
8,4,16
8,5,16
8,6,0
8,7,56
8,8,0
8,9,0
8,10,8
8,11,11
8,12,11
8,13,11
8,14,11
8,15,13
8,16,13
8,17,15
8,18,15
8,19,15
8,20,15
8,21,13
8,22,15
8,23,15
8,24,15
8,25,15
8,26,15
8,27,15
8,28,16
8,29,23
8,30,23
8,31,25
8,32,16
8,33,23
8,34,23
8,35,23
8,36,25
8,37,23
8,38,15
8,39,23
8,40,16
8,41,13
8,42,13
8,43,13
8,44,13
8,45,13
8,46,13
8,47,13
8,48,14
8,49,14
8,50,14
8,51,14
8,52,14
8,53,14
8,54,14
8,55,14
8,56,14
8,57,7
8,58,4
8,59,54
8,60,9
8,61,14
8,62,15
8,63,15
8,64,15
8,65,13
8,66,15
8,67,13
8,68,55
8,69,14
8,70,9
8,71,41
8,72,15
8,73,13
8,74,13
8,75,43
8,76,43
8,77,43
8,78,15
8,79,15
8,80,16
8,81,15
8,82,15
8,83,15
8,84,15
8,85,15
8,86,15
8,87,15
8,88,16
8,89,23
8,90,88
8,91,9
8,92,53
8,93,15
8,94,43
8,95,56
8,96,
8,97,
8,98,86
8,99,96
9,0,9
9,1,0
9,2,58
9,3,53
9,4,53
9,5,25
9,6,58
9,7,56
9,8,0
9,9,53
9,10,58
9,11,58
9,12,58
9,13,58
9,14,13
9,15,58
9,16,30
9,17,53
9,18,58
9,19,58
9,20,20
9,21,21
9,22,58
9,23,23
9,24,23
9,25,25
9,26,26
9,27,27
9,28,26
9,29,23
9,30,58
9,31,58
9,32,25
9,33,33
9,34,23
9,35,25
9,36,33
9,37,33
9,38,25
9,39,37
9,40,10
9,41,58
9,42,42
9,43,13
9,44,112
9,45,4
9,46,14
9,47,13
9,48,4
9,49,4
9,50,9
9,51,9
9,52,9
9,53,9
9,54,9
9,55,522
9,56,9
9,57,522
9,58,522
9,59,0
9,60,25
9,61,6
9,62,25
9,63,26
9,64,24
9,65,6
9,66,15
9,67,53
9,68,26
9,69,56
9,70,58
9,71,58
9,72,23
9,73,23
9,74,53
9,75,25
9,76,43
9,77,53
9,78,26
9,79,26
9,80,25
9,81,24
9,82,0
9,83,13
9,84,18
9,85,18
9,86,18
9,87,23
9,88,23
9,89,23
9,90,58
9,91,58
9,92,38
9,93,23
9,94,23
9,95,23
9,96,24
9,97,23
9,98,23
9,99,58
10,0,10
10,1,10
10,2,10
10,3,30
10,4,30
10,5,30
10,6,30
10,7,56
10,8,11
10,9,9
10,10,10
10,11,13
10,12,10
10,13,11
10,14,33
10,15,100
10,16,13
10,17,33
10,18,43
10,19,43
10,20,30
10,21,30
10,22,38
10,23,30
10,24,42
10,25,85
10,26,56
10,27,33
10,28,43
10,29,53
10,30,83
10,31,33
10,32,56
10,33,33
10,34,23
10,35,85
10,36,43
10,37,53
10,38,1
10,39,43
10,40,58
10,41,58
10,42,58
10,43,137
10,44,82
10,45,137
10,46,85
10,47,53
10,48,85
10,49,85
10,50,100
10,51,137
10,52,100
10,53,100
10,54,101
10,55,100
10,56,100
10,57,0
10,58,100
10,59,6
10,60,58
10,61,1
10,62,100
10,63,100
10,64,100
10,65,100
10,66,100
10,67,100
10,68,137
10,69,100
10,70,110
10,71,178
10,72,128
10,73,1
10,74,137
10,75,137
10,76,158
10,77,137
10,78,158
10,79,158
10,80,158
10,81,158
10,82,15
10,83,15
10,84,15
10,85,135
10,86,15
10,87,158
10,88,116
10,89,119
10,90,158
10,91,158
10,92,128
10,93,138
10,94,
10,95,135
10,96,456
10,97,5
10,98,137
10,99,138
11,0,11
11,1,58
11,2,11
11,3,31
11,4,31
11,5,13
11,6,13
11,7,56
11,8,11
11,9,13
11,10,8
11,11,13
11,12,11
11,13,29
11,14,29
11,15,43
11,16,43
11,17,33
11,18,25
11,19,29
11,20,43
11,21,41
11,22,35
11,23,37
11,24,53
11,25,53
11,26,53
11,27,53
11,28,43
11,29,53
11,30,43
11,31,33
11,32,56
11,33,56
11,34,57
11,35,43
11,36,53
11,37,53
11,38,56
11,39,43
11,40,53
11,41,43
11,42,57
11,43,128
11,44,82
11,45,57
11,46,85
11,47,53
11,48,85
11,49,57
11,50,13
11,51,13
11,52,14
11,53,14
11,54,11
11,55,8
11,56,13
11,57,8
11,58,13
11,59,6
11,60,56
11,61,56
11,62,37
11,63,100
11,64,97
11,65,54
11,66,100
11,67,100
11,68,85
11,69,84
11,70,
11,71,138
11,72,137
11,73,45
11,74,145
11,75,137
11,76,143
11,77,43
11,78,45
11,79,158
11,80,134
11,81,158
11,82,15
11,83,15
11,84,15
11,85,158
11,86,158
11,87,
11,88,116
11,89,123
11,90,158
11,91,158
11,92,137
11,93,158
11,94,141
11,95,134
11,96,
11,97,141
11,98,137
11,99,138
12,0,12
12,1,13
12,2,18
12,3,33
12,4,36
12,5,13
12,6,13
12,7,13
12,8,15
12,9,13
12,10,18
12,11,18
12,12,18
12,13,29
12,14,30
12,15,30
12,16,30
12,17,30
12,18,30
12,19,35
12,20,30
12,21,43
12,22,35
12,23,37
12,24,53
12,25,43
12,26,41
12,27,35
12,28,43
12,29,53
12,30,43
12,31,37
12,32,56
