a,b,completion
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,0,0
1,1,1
1,2,2
1,3,3
1,4,0
1,5,0
1,6,6
1,7,7
1,8,16
1,9,11
1,10,100
1,11,11
1,12,12
1,13,13
1,14,14
1,15,100
1,16,128
1,17,31
1,18,18
1,19,19
1,20,100
1,21,21
1,22,22
1,23,23
1,24,24
1,25,25
1,26,16
1,27,27
1,28,0
1,29,29
1,30,30
1,31,31
1,32,32
1,33,33
1,34,34
1,35,35
1,36,36
1,37,37
1,38,38
1,39,39
1,40,40
1,41,41
1,42,42
1,43,43
1,44,44
1,45,45
1,46,46
1,47,47
1,48,16
1,49,41
1,50,50
1,51,41
1,52,52
1,53,53
1,54,54
1,55,25
1,56,56
1,57,37
1,58,58
1,59,59
1,60,60
1,61,61
1,62,62
1,63,63
1,64,64
1,65,65
1,66,66
1,67,27
1,68,28
1,69,29
1,70,70
1,71,71
1,72,72
1,73,73
1,74,74
1,75,75
1,76,76
1,77,27
1,78,38
1,79,79
1,80,80
1,81,81
1,82,82
1,83,83
1,84,84
1,85,85
1,86,16
1,87,27
1,88,8
1,89,89
1,90,90
1,91,41
1,92,92
1,93,93
1,94,94
1,95,45
1,96,96
1,97,37
1,98,98
1,99,100
2,0,0
2,1,2
2,2,4
2,3,6
2,4,8
2,5,10
2,6,12
2,7,17
2,8,16
2,9,22
2,10,20
2,11,22
2,12,24
2,13,42
2,14,32
2,15,50
2,16,32
2,17,47
2,18,36
2,19,38
2,20,40
2,21,42
2,22,42
2,23,452
2,24,72
2,25,50
2,26,36
2,27,47
2,28,56
2,29,45
2,30,60
2,31,151
2,32,128
2,33,133
2,34,84
2,35,75
2,36,96
2,37,97
2,38,128
2,39,99
2,40,80
2,41,161
2,42,92
2,43,97
2,44,80
2,45,45
2,46,116
2,47,117
2,48,128
2,49,132
2,50,100
2,51,102
2,52,152
2,53,153
2,54,104
2,55,115
2,56,116
2,57,117
2,58,158
2,59,92
2,60,120
2,61,132
2,62,132
2,63,133
2,64,128
2,65,95
2,66,116
2,67,137
2,68,128
2,69,119
2,70,120
2,71,151
2,72,128
2,73,133
2,74,114
2,75,150
2,76,116
2,77,117
2,78,128
2,79,119
2,80,160
2,81,128
2,82,128
2,83,163
2,84,128
2,85,95
2,86,36
2,87,97
2,88,128
2,89,158
2,90,120
2,91,141
2,92,92
2,93,153
2,94,92
2,95,95
2,96,96
2,97,97
2,98,98
2,99,102
3,0,0
3,1,3
3,2,3
3,3,13
3,4,18
3,5,33
3,6,36
3,7,27
3,8,36
3,9,33
3,10,30
3,11,33
3,12,36
3,13,83
3,14,83
3,15,83
3,16,96
3,17,97
3,18,97
3,19,83
3,20,100
3,21,133
3,22,97
3,23,83
3,24,96
3,25,75
3,26,83
3,27,97
3,28,72
3,29,153
3,30,180
3,31,153
3,32,128
3,33,133
3,34,158
3,35,153
3,36,96
3,37,97
3,38,158
3,39,179
3,40,120
3,41,163
3,42,158
3,43,163
3,44,116
3,45,145
3,46,116
3,47,97
3,48,128
3,49,163
3,50,150
3,51,163
3,52,176
3,53,163
3,54,183
3,55,153
3,56,116
3,57,97
3,58,158
3,59,97
3,60,120
3,61,163
3,62,162
3,63,163
3,64,128
3,65,135
3,66,133
3,67,133
3,68,128
3,69,133
3,70,150
3,71,151
3,72,144
3,73,133
3,74,171
3,75,150
3,76,176
3,77,117
3,78,158
3,79,179
3,80,160
3,81,163
3,82,158
3,83,163
3,84,144
3,85,145
3,86,176
3,87,97
3,88,128
3,89,153
3,90,150
3,91,153
3,92,158
3,93,153
3,94,153
3,95,153
3,96,153
3,97,153
3,98,97
3,99,153
4,0,0
4,1,4
4,2,4
4,3,36
4,4,16
4,5,40
4,6,44
4,7,44
4,8,64
4,9,44
4,10,40
4,11,44
4,12,44
4,13,84
4,14,84
4,15,100
4,16,128
4,17,84
4,18,84
4,19,84
4,20,100
4,21,141
4,22,116
4,23,144
4,24,144
4,25,100
4,26,116
4,27,144
4,28,128
4,29,144
4,30,144
4,31,158
4,32,128
4,33,158
4,34,158
4,35,144
4,36,144
4,37,158
4,38,158
4,39,158
4,40,240
4,41,141
4,42,158
4,43,158
4,44,128
4,45,144
4,46,116
4,47,116
4,48,128
4,49,144
4,50,400
4,51,144
4,52,128
4,53,158
4,54,144
4,55,144
4,56,116
4,57,117
4,58,144
4,59,144
4,60,144
4,61,144
4,62,128
4,63,144
4,64,128
4,65,144
4,66,116
4,67,144
4,68,128
4,69,144
4,70,140
4,71,141
4,72,144
4,73,283
4,74,144
4,75,150
4,76,116
4,77,117
4,78,128
4,79,144
4,80,160
4,81,144
4,82,432
4,83,283
4,84,144
4,85,158
4,86,176
4,87,144
4,88,128
4,89,144
4,90,144
4,91,144
4,92,144
4,93,291
4,94,144
4,95,452
4,96,128
4,97,144
4,98,84
4,99,144
5,0,0
5,1,5
5,2,10
5,3,45
5,4,45
5,5,25
5,6,452
5,7,45
5,8,45
5,9,452
5,10,50
5,11,452
5,12,100
5,13,95
5,14,95
5,15,75
5,16,100
5,17,95
5,18,95
5,19,95
5,20,100
5,21,95
5,22,150
5,23,145
5,24,150
5,25,150
5,26,150
5,27,145
5,28,158
5,29,145
5,30,150
5,31,151
5,32,128
5,33,153
5,34,158
5,35,145
5,36,116
5,37,137
5,38,158
5,39,145
5,40,100
5,41,151
5,42,158
5,43,171
5,44,116
5,45,145
5,46,116
5,47,147
5,48,128
5,49,145
5,50,150
5,51,151
5,52,150
5,53,291
5,54,145
5,55,145
5,56,146
5,57,137
5,58,158
5,59,95
5,60,150
5,61,145
5,62,1002
5,63,145
5,64,128
5,65,145
5,66,146
5,67,291
5,68,145
5,69,145
5,70,150
5,71,151
5,72,145
5,73,291
5,74,145
5,75,375
5,76,146
5,77,147
5,78,158
5,79,145
5,80,150
5,81,145
5,82,158
5,83,283
5,84,158
5,85,145
5,86,176
5,87,137
5,88,158
5,89,145
5,90,150
5,91,245
5,92,292
5,93,291
5,94,95
5,95,295
5,96,296
5,97,291
5,98,158
5,99,599
6,0,0
6,1,6
6,2,6
6,3,36
6,4,96
6,5,36
6,6,36
6,7,36
6,8,96
6,9,36
6,10,60
6,11,116
6,12,96
6,13,186
6,14,96
6,15,100
6,16,96
6,17,116
6,18,96
6,19,116
6,20,180
6,21,146
