a,b,completion
0,0,0
0,1,0
0,2,0
0,3,3
0,4,4
0,5,5
0,6,0
0,7,0
0,8,0
0,9,9
0,10,0
0,11,0
0,12,0
0,13,0
0,14,14
0,15,0
0,16,0
0,17,17
0,18,18
0,19,19
0,20,0
0,21,21
0,22,0
0,23,0
0,24,24
0,25,0
0,26,26
0,27,27
0,28,28
0,29,29
0,30,30
0,31,31
0,32,32
0,33,33
0,34,34
0,35,35
0,36,36
0,37,37
0,38,38
0,39,39
0,40,0
0,41,41
0,42,0
0,43,43
0,44,0
0,45,45
0,46,0
0,47,0
0,48,0
0,49,49
0,50,0
0,51,0
0,52,0
0,53,53
0,54,54
0,55,0
0,56,0
0,57,0
0,58,58
0,59,59
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,73
0,74,0
0,75,0
0,76,0
0,77,0
0,78,78
0,79,79
0,80,0
0,81,81
0,82,82
0,83,83
0,84,84
0,85,85
0,86,86
0,87,87
0,88,88
0,89,89
0,90,90
0,91,991
0,92,0
0,93,93
0,94,94
0,95,95
0,96,0
0,97,0
0,98,98
0,99,99
1,0,1
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,20,20
1,21,2
1,22,22
1,23,24
1,24,24
1,25,25
1,26,26
1,27,27
1,28,28
1,29,29
1,30,30
1,31,3
1,32,3
1,33,33
1,34,3.4
1,35,35
1,36,3 6
1,37,37
1,38,38
1,39,39
1,40,40
1,41,41
1,42,42
1,43,43
1,44,44
1,45,45
1,46,46
1,47,48
1,48,48
1,49,49
1,50,50
1,51,51
1,52,52
1,53,53
1,54,54
1,55,55
1,56,56
1,57,57
1,58,58
1,59,59
1,60,60
1,61,61
1,62,62
1,63,63
1,64,64
1,65,65
1,66,66
1,67,67
1,68,68
1,69,69
1,70,70
1,71,71
1,72,72
1,73,73
1,74,74
1,75,75
1,76,706
1,77,78
1,78,78
1,79,79
1,80,80
1,81,811
1,82,82
1,83,83
1,84,84
1,85,85
1,86,86
1,87,87
1,88,88
1,89,89
1,90,90
1,91,991
1,92,92
1,93,93
1,94,94
1,95,95
1,96,96
1,97,97
1,98,98
1,99,99
2,0,2
2,1,2
2,2,4
2,3,6
2,4,8
2,5,10
2,6,12
2,7,14
2,8,16
2,9,12
2,10,20
2,11,22
2,12,24
2,13,23
2,14,28
2,15,30
2,16,32
2,17,27
2,18,36
2,19,39
2,20,40
2,21,43
2,22,44
2,23,47
2,24,48
2,25,50
2,26,38
2,27,57
2,28,56
2,29,59
2,30,60
2,31,62
2,32,64
2,33,66
2,34,66
2,35,65
2,36,72
2,37,67
2,38,68
2,39,69
2,40,80
2,41,71
2,42,84
2,43,67
2,44,88
2,45,75
2,46,88
2,47,97
2,48,96
2,49,99
2,50,100
2,51,102
2,52,104
2,53,107
2,54,104
2,55,105
2,56,108
2,57,107
2,58,108
2,59,119
2,60,120
2,61,121
2,62,104
2,63,127
2,64,128
2,65,85
2,66,128
2,67,107
2,68,108
2,69,108
2,70,140
2,71,122
2,72,144
2,73,97
2,74,104
2,75,150
2,76,144
2,77,117
2,78,108
2,79,139
2,80,160
2,81,161
2,82,132
2,83,157
2,84,128
2,85,155
2,86,136
2,87,117
2,88,128
2,89,149
2,90,180
2,91,182
2,92,144
2,93,183
2,94,144
2,95,195
2,96,192
2,97,197
2,98,102
2,99,202
3,0,3
3,1,3
3,2,6
3,3,9
3,4,12
3,5,15
3,6,18
3,7,21
3,8,18
3,9,18
3,10,30
3,11,33
3,12,36
3,13,37
3,14,43
3,15,45
3,16,36
3,17,38
3,18,45
3,19,43
3,20,60
3,21,63
3,22,63
3,23,63
3,24,72
3,25,75
3,26,69
3,27,69
3,28,68
3,29,69
3,30,90
3,31,91
3,32,72
3,33,67
3,34,103
3,35,105
3,36,72
3,37,97
3,38,108
3,39,99
3,40,120
3,41,141
3,42,108
3,43,117
3,44,108
3,45,180
3,46,153
3,47,137
3,48,144
3,49,153
3,50,150
3,51,151
3,52,153
3,53,153
3,54,154
3,55,155
3,56,156
3,57,157
3,58,158
3,59,169
3,60,180
3,61,121
3,62,126
3,63,183
3,64,192
3,65,165
3,66,153
3,67,167
3,68,153
3,69,169
3,70,183
3,71,171
3,72,144
3,73,153
3,74,153
3,75,150
3,76,183
3,77,157
3,78,158
3,79,179
3,80,180
3,81,181
3,82,182
3,83,273
3,84,184
3,85,285
3,86,186
3,87,207
3,88,288
3,89,269
3,90,270
3,91,291
3,92,363
3,93,363
3,94,363
3,95,365
3,96,324
3,97,309
3,98,299
3,99,300
4,0,0
4,1,4
4,2,8
4,3,12
4,4,16
4,5,10
4,6,12
4,7,21
4,8,32
4,9,44
4,10,40
4,11,44
4,12,48
4,13,53
4,14,58
4,15,60
4,16,64
4,17,57
4,18,72
4,19,74
4,20,80
4,21,74
4,22,68
4,23,69
4,24,96
4,25,100
4,26,108
4,27,107
4,28,108
4,29,108
4,30,120
4,31,104
4,32,128
4,33,108
4,34,108
4,35,105
4,36,108
4,37,117
4,38,128
4,39,169
4,40,160
4,41,141
4,42,192
4,43,187
4,44,192
4,45,180
4,46,184
4,47,187
4,48,192
4,49,234
4,50,100
4,51,204
4,52,192
4,53,169
4,54,204
4,55,190
4,56,208
4,57,207
4,58,208
4,59,239
4,60,240
4,61,211
4,62,252
4,63,223
4,64,256
4,65,220
4,66,216
4,67,237
4,68,288
4,69,294
4,70,280
4,71,284
4,72,288
4,73,283
4,74,294
4,75,225
4,76,246
4,77,277
4,78,288
4,79,379
4,80,320
4,81,392
4,82,482
4,83,383
4,84,384
4,85,385
4,86,368
4,87,387
4,88,408
4,89,389
4,90,420
4,91,409
4,92,482
4,93,479
4,94,464
4,95,440
4,96,480
4,97,479
4,98,498
4,99,489
5,0,5
5,1,5
5,2,10
5,3,10
5,4,10
5,5,25
5,6,25
5,7,35
5,8,40
5,9,45
5,10,50
5,11,55
5,12,60
5,13,65
5,14,70
5,15,75
5,16,60
5,17,70
5,18,75
5,19,85
5,20,100
5,21,85
5,22,77
5,23,78
5,24,120
5,25,125
5,26,125
5,27,117
5,28,140
5,29,155
5,30,150
5,31,105
5,32,120
5,33,175
5,34,171
5,35,175
5,36,180
5,37,195
5,38,208
5,39,195
5,40,200
5,41,211
5,42,210
5,43,210
5,44,208
5,45,225
5,46,235
5,47,207
5,48,240
5,49,295
5,50,250
5,51,275
5,52,250
5,53,275
5,54,285
5,55,275
5,56,275
5,57,295
5,58,248
5,59,405
5,60,300
5,61,315
5,62,315
5,63,315
5,64,320
5,65,315
5,66,315
5,67,317
5,68,310
5,69,295
5,70,350
5,71,340
5,72,360
5,73,315
5,74,375
5,75,375
5,76,375
5,77,375
5,78,380
5,79,395
5,80,400
5,81,405
5,82,420
5,83,417
5,84,420
5,85,455
5,86,455
5,87,455
5,88,460
5,89,455
5,90,510
5,91,510
5,92,592
5,93,545
5,94,558
5,95,550
5,96,500
5,97,593
5,98,598
5,99,550
6,0,6
6,1,6
6,2,12
6,3,18
6,4,24
6,5,30
6,6,36
6,7,43
6,8,48
6,9,54
6,10,60
6,11,65
6,12,72
6,13,67
6,14,78
6,15,90
6,16,72
6,17,85
6,18,108
6,19,105
6,20,120
6,21,107
