a,b,completion
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
1,0,0
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,20,20
1,21,21
1,22,22
1,23,23
1,24,24
1,25,25
1,26,26
1,27,27
1,28,28
1,29,29
1,30,30
1,31,31
1,32,32
1,33,33
1,34,34
1,35,35
1,36,36
1,37,37
1,38,38
1,39,39
1,40,40
1,41,41
1,42,42
1,43,43
1,44,44
1,45,45
1,46,46
1,47,47
1,48,48
1,49,49
1,50,50
1,51,51
1,52,52
1,53,53
1,54,54
1,55,55
1,56,56
1,57,57
1,58,58
1,59,59
1,60,60
1,61,61
1,62,62
1,63,63
1,64,64
1,65,65
1,66,66
1,67,67
1,68,68
1,69,69
1,70,70
1,71,71
1,72,72
1,73,73
1,74,74
1,75,75
1,76,76
1,77,77
1,78,78
1,79,79
1,80,80
1,81,81
1,82,82
1,83,83
1,84,84
1,85,85
1,86,86
1,87,87
1,88,88
1,89,89
1,90,90
1,91,91
1,92,92
1,93,93
1,94,94
1,95,95
1,96,96
1,97,97
1,98,98
1,99,99
2,0,0
2,1,2
2,2,4
2,3,6
2,4,8
2,5,10
2,6,12
2,7,14
2,8,16
2,9,18
2,10,20
2,11,22
2,12,24
2,13,26
2,14,28
2,15,30
2,16,32
2,17,34
2,18,36
2,19,38
2,20,40
2,21,42
2,22,44
2,23,46
2,24,48
2,25,50
2,26,52
2,27,54
2,28,56
2,29,58
2,30,60
2,31,62
2,32,64
2,33,66
2,34,68
2,35,70
2,36,72
2,37,74
2,38,76
2,39,78
2,40,80
2,41,82
2,42,84
2,43,86
2,44,88
2,45,90
2,46,92
2,47,94
2,48,96
2,49,98
2,50,100
2,51,102
2,52,104
2,53,106
2,54,108
2,55,110
2,56,112
2,57,114
2,58,116
2,59,118
2,60,120
2,61,122
2,62,124
2,63,126
2,64,128
2,65,130
2,66,132
2,67,134
2,68,136
2,69,138
2,70,140
2,71,142
2,72,144
2,73,146
2,74,148
2,75,150
2,76,152
2,77,154
2,78,156
2,79,158
2,80,160
2,81,162
2,82,164
2,83,166
2,84,168
2,85,170
2,86,172
2,87,174
2,88,176
2,89,178
2,90,180
2,91,182
2,92,184
2,93,186
2,94,188
2,95,190
2,96,192
2,97,194
2,98,196
2,99,198
3,0,0
3,1,3
3,2,6
3,3,9
3,4,12
3,5,15
3,6,18
3,7,21
3,8,24
3,9,27
3,10,30
3,11,33
3,12,36
3,13,39
3,14,42
3,15,45
3,16,48
3,17,51
3,18,54
3,19,57
3,20,60
3,21,63
3,22,66
3,23,69
3,24,72
3,25,75
3,26,78
3,27,81
3,28,84
3,29,87
3,30,90
3,31,93
3,32,96
3,33,99
3,34,102
3,35,105
3,36,108
3,37,111
3,38,114
3,39,117
3,40,120
3,41,123
3,42,126
3,43,129
3,44,132
3,45,135
3,46,138
3,47,141
3,48,144
3,49,147
3,50,150
3,51,153
3,52,156
3,53,159
3,54,162
3,55,165
3,56,168
3,57,171
3,58,174
3,59,177
3,60,180
3,61,183
3,62,186
3,63,189
3,64,192
3,65,195
3,66,198
3,67,201
3,68,204
3,69,207
3,70,210
3,71,213
3,72,216
3,73,219
3,74,222
3,75,225
3,76,228
3,77,231
3,78,234
3,79,237
3,80,240
3,81,243
3,82,246
3,83,249
3,84,252
3,85,255
3,86,258
3,87,261
3,88,264
3,89,267
3,90,270
3,91,273
3,92,276
3,93,279
3,94,282
3,95,285
3,96,288
3,97,291
3,98,294
3,99,297
4,0,0
4,1,4
4,2,8
4,3,12
4,4,16
4,5,20
4,6,24
4,7,28
4,8,32
4,9,36
4,10,40
4,11,44
4,12,48
4,13,52
4,14,56
4,15,60
4,16,64
4,17,68
4,18,72
4,19,76
4,20,80
4,21,84
4,22,88
4,23,92
4,24,96
4,25,100
4,26,104
4,27,108
4,28,112
4,29,116
4,30,120
4,31,124
4,32,128
4,33,132
4,34,136
4,35,140
4,36,144
4,37,148
4,38,152
4,39,156
4,40,160
4,41,164
4,42,168
4,43,172
4,44,176
4,45,180
4,46,184
4,47,188
4,48,192
4,49,196
4,50,200
4,51,204
4,52,208
4,53,212
4,54,216
4,55,220
4,56,224
4,57,228
4,58,232
4,59,236
4,60,240
4,61,244
4,62,248
4,63,252
4,64,256
4,65,260
4,66,264
4,67,268
4,68,272
4,69,276
4,70,280
4,71,284
4,72,288
4,73,292
4,74,296
4,75,300
4,76,304
4,77,308
4,78,312
4,79,316
4,80,320
4,81,324
4,82,328
4,83,332
4,84,336
4,85,340
4,86,344
4,87,348
4,88,352
4,89,356
4,90,360
4,91,364
4,92,368
4,93,372
4,94,376
4,95,380
4,96,384
4,97,388
4,98,392
4,99,396
5,0,0
5,1,5
5,2,10
5,3,15
5,4,20
5,5,25
5,6,30
5,7,35
5,8,40
5,9,45
5,10,50
5,11,55
5,12,60
5,13,65
5,14,70
5,15,75
5,16,80
5,17,85
5,18,90
5,19,95
5,20,100
5,21,105
5,22,110
5,23,115
5,24,120
5,25,125
5,26,130
5,27,135
5,28,140
5,29,145
5,30,150
5,31,155
5,32,160
5,33,165
5,34,170
5,35,175
5,36,180
5,37,185
5,38,190
5,39,195
5,40,200
5,41,205
5,42,210
5,43,215
5,44,220
5,45,225
5,46,230
5,47,235
5,48,240
5,49,245
5,50,250
5,51,255
5,52,260
5,53,265
5,54,270
5,55,275
5,56,280
5,57,285
5,58,290
5,59,295
5,60,300
5,61,305
5,62,310
5,63,315
5,64,320
5,65,325
5,66,330
5,67,335
5,68,340
5,69,345
5,70,350
5,71,355
5,72,360
5,73,365
5,74,370
5,75,375
5,76,380
5,77,385
5,78,390
5,79,395
5,80,400
5,81,405
5,82,410
5,83,415
5,84,420
5,85,425
5,86,430
5,87,435
5,88,440
5,89,445
5,90,450
5,91,455
5,92,460
5,93,465
5,94,470
5,95,475
5,96,480
5,97,485
5,98,490
5,99,495
6,0,0
6,1,6
6,2,12
6,3,18
6,4,24
6,5,30
6,6,36
6,7,42
6,8,48
6,9,54
6,10,60
6,11,66
6,12,72
6,13,78
6,14,84
6,15,90
6,16,96
6,17,102
6,18,108
6,19,114
6,20,120
6,21,126
