a,b,completion
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
1,0,0
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
2,0,0
2,1,2
2,2,4
2,3,6
2,4,8
2,5,10
2,6,12
2,7,14
2,8,16
2,9,18
3,0,0
3,1,3
3,2,3
3,3,9
3,4,8
3,5,3
3,6,18
3,7,21
3,8,16
3,9,27
4,0,0
4,1,4
4,2,4
4,3,4
4,4,16
4,5,10
4,6,24
4,7,28
4,8,32
4,9,24
5,0,0
5,1,5
5,2,5
5,3,5
5,4,20
5,5,10
5,6,10
5,7,35
5,8,40
5,9,45
6,0,0
6,1,6
6,2,6
6,3,6
6,4,24
6,5,10
6,6,36
6,7,28
6,8,32
6,9,36
7,0,7
7,1,7
7,2,7
7,3,7
7,4,28
7,5,7
7,6,42
7,7,28
7,8,28
7,9,63
8,0,8
8,1,8
8,2,8
8,3,8
8,4,16
8,5,40
8,6,24
8,7,56
8,8,64
8,9,81
9,0,0
9,1,9
9,2,9
9,3,9
9,4,16
9,5,45
9,6,36
9,7,63
9,8,64
9,9,81
