a,b,completion
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,5
0,6,8 = 9 = 10 = 11 =
0,7,8 = 9 = 10 = 11 =
0,8,8
0,9,9
0,10,89536
0,11,89536
0,12,0
0,13,0
0,14,81636
0,15,81636
0,16,81636
0,17,89536
0,18,89536
0,19,90736
0,20,0
0,21,95948
0,22,81636
0,23,0
0,24,81636
0,25,81636
0,26,81636
0,27,0
0,28,81636
0,29,81636
0,30,81636
0,31,81636
0,32,81636
0,33,81636
0,34,81636
0,35,81636
0,36,81636
0,37,81636
0,38,81636
0,39,81636
0,40,81636
0,41,81636
0,42,81636
0,43,86748
0,44,81636
0,45,86748
0,46,81636
0,47,81636
0,48,81636
0,49,81648
0,50,0
0,51,81636
0,52,81636
0,53,81636
0,54,81636
0,55,81636
0,56,81636
0,57,81636
0,58,81636
0,59,81636
0,60,81636
0,61,81636
0,62,81636
0,63,81636
0,64,81648
0,65,81636
0,66,81636
0,67,81636
0,68,81636
0,69,81636
0,70,81636
0,71,81636
0,72,22968
0,73,81636
0,74,81636
0,75,81636
0,76,81636
0,77,81636
0,78,81636
0,79,95948
0,80,81636
0,81,81636
0,82,81636
0,83,81636
0,84,95948
0,85,81636
0,86,89848
0,87,81636
0,88,81636
0,89,95944
0,90,95948
0,91,89848
0,92,81636
0,93,81636
0,94,81636
0,95,81636
0,96,81636
0,97,85944
0,98,81636
0,99,95944
0,100,95948
0,101,81636
0,102,81636
0,103,81636
0,104,81648
0,105,81648
0,106,81648
0,107,81648
0,108,81648
0,109,81648
0,110,81648
0,111,81636
0,112,81648
0,113,81648
0,114,81648
0,115,81648
0,116,81648
0,117,81648
0,118,81648
0,119,81636
0,120,81648
0,121,81636
0,122,81636
0,123,81636
0,124,81648
0,125,81648
0,126,81648
0,127,81636
0,128,81648
0,129,81648
0,130,81648
0,131,81648
0,132,81648
0,133,81648
0,134,81648
0,135,81648
0,136,81648
0,137,81648
0,138,81648
0,139,81648
0,140,81648
0,141,81648
0,142,81648
0,143,81648
0,144,81648
0,145,81648
0,146,81648
0,147,81648
0,148,81648
0,149,81648
0,150,81648
0,151,81648
0,152,81648
0,153,81648
0,154,81648
0,155,81648
0,156,81648
0,157,81648
0,158,95948
0,159,95948
0,160,81648
0,161,81648
0,162,81648
0,163,81648
0,164,81648
0,165,81648
0,166,81648
0,167,81648
0,168,95948
0,169,95948
0,170,95948
0,171,81648
0,172,81648
0,173,95948
0,174,95948
0,175,90948
0,176,95948
0,177,95948
0,178,95948
0,179,95948
0,180,90948
0,181,95948
0,182,95948
0,183,95948
0,184,95948
0,185,95948
0,186,95948
0,187,95948
0,188,81436
0,189,95948
0,190,95948
0,191,95948
0,192,95948
0,193,95948
0,194,95948
0,195,95948
0,196,95948
0,197,95948
0,198,95948
0,199,95948
0,200,90948
0,201,95948
0,202,81636
0,203,81636
0,204,81636
0,205,95948
0,206,95948
0,207,95948
0,208,95948
0,209,95948
0,210,95948
0,211,81648
0,212,81648
0,213,81648
0,214,81648
0,215,81636
0,216,81648
0,217,81648
0,218,81436
0,219,95948
0,220,81436
0,221,81636
0,222,81636
0,223,81636
0,224,81636
0,225,81436
0,226,81436
0,227,81436
0,228,81436
0,229,0
0,230,81436
0,231,81436
0,232,81636
0,233,81436
0,234,81436
0,235,81436
0,236,81436
0,237,81472
0,238,81636
0,239,81436
0,240,81436
0,241,81436
0,242,81636
0,243,81636
0,244,81636
0,245,81436
0,246,81636
0,247,81636
0,248,81648
0,249,81436
0,250,81436
0,251,81436
0,252,202860
0,253,81436
0,254,81436
0,255,81636
0,256,81648
0,257,81436
0,258,81436
0,259,81436
0,260,81436
0,261,81436
0,262,231084
0,263,81436
0,264,81436
0,265,81436
0,266,81436
0,267,81436
0,268,81436
0,269,81436
0,270,81436
0,271,81436
0,272,81648
0,273,81436
0,274,81436
0,275,81436
0,276,81436
0,277,81436
0,278,81636
0,279,95948
0,280,81436
0,281,81636
0,282,81636
0,283,81636
0,284,81636
0,285,81436
0,286,81636
0,287,81436
0,288,81648
0,289,81436
0,290,81436
0,291,81436
0,292,81636
0,293,81436
0,294,81436
0,295,81436
0,296,81436
0,297,81436
0,298,81436
0,299,81436
1,0,0
1,1,1
1,2,2 = 2 = 2 = 2 =
1,3,4 = 5 = 6 = 7 =
1,4,4 = 4 = 4 = 4 =
1,5,5 = 5 = 5 = 5 =
1,6,8 = 9 = 10 = 11 =
1,7,8 = 9 = 10 = 11 =
1,8,8
1,9,9
1,10,89536
1,11,89536
1,12,81648
1,13,81648
1,14,81648
1,15,81636
1,16,81648
1,17,89536
1,18,89536
1,19,90736
1,20,82348
1,21,81636
1,22,81636
1,23,8
1,24,81648
1,25,81636
1,26,89536
1,27,82348
1,28,82348
1,29,81636
1,30,81636
1,31,81636
1,32,81648
1,33,81648
1,34,46789
1,35,81648
1,36,81648
1,37,81648
1,38,81648
1,39,81636
1,40,81648
1,41,81648
1,42,81648
1,43,46789
1,44,81648
1,45,81636
1,46,81636
1,47,81636
1,48,81636
1,49,81648
1,50,52789
1,51,81648
1,52,81636
1,53,81636
1,54,81648
1,55,81636
1,56,81636
1,57,81636
1,58,81648
1,59,81648
1,60,81648
1,61,81648
1,62,81648
1,63,81648
1,64,81648
1,65,81648
1,66,81648
1,67,81648
1,68,81648
1,69,81648
1,70,81648
1,71,81636
1,72,22968
1,73,81636
1,74,81636
1,75,81636
1,76,81636
1,77,81636
1,78,81636
1,79,81636
1,80,81648
1,81,81636
1,82,81636
1,83,81636
1,84,81648
1,85,81648
1,86,81636
1,87,81648
1,88,81648
1,89,81636
1,90,95948
1,91,81636
1,92,95948
1,93,81636
1,94,81636
1,95,81636
1,96,81648
1,97,81436
1,98,81648
1,99,95948
1,100,95948
1,101,81648
1,102,81648
1,103,81648
1,104,81648
1,105,81648
1,106,81648
1,107,81648
1,108,81648
1,109,81648
1,110,81648
1,111,81648
1,112,81648
1,113,81648
1,114,81648
1,115,81648
1,116,81648
1,117,81648
1,118,81648
1,119,81648
1,120,81648
1,121,81648
1,122,81648
1,123,81648
1,124,81648
1,125,81648
1,126,81648
1,127,81648
1,128,81648
1,129,81648
1,130,81648
1,131,81648
1,132,81648
1,133,81648
1,134,81648
1,135,81648
1,136,81648
1,137,81648
1,138,81648
1,139,81648
1,140,81648
1,141,81648
1,142,81648
1,143,81648
1,144,81648
1,145,81648
1,146,81648
1,147,81648
1,148,81648
1,149,81648
1,150,81648
1,151,81648
1,152,81648
1,153,81648
1,154,81648
1,155,81648
1,156,81648
1,157,81648
1,158,95948
1,159,81648
1,160,81648
1,161,81648
1,162,81648
1,163,81648
1,164,81648
1,165,81648
1,166,81648
1,167,81648
1,168,95948
1,169,95948
1,170,95948
1,171,81648
1,172,81648
1,173,81648
1,174,81648
1,175,81436
1,176,95948
1,177,81648
1,178,95948
1,179,95948
1,180,90948
1,181,81648
1,182,81648
1,183,81648
1,184,81648
1,185,81436
1,186,95948
1,187,95948
1,188,81436
1,189,95948
1,190,95948
1,191,95948
1,192,95948
1,193,95948
1,194,95948
1,195,95948
1,196,95948
1,197,81436
1,198,95948
1,199,95948
1,200,90948
1,201,95948
1,202,81648
1,203,81648
1,204,81636
1,205,81436
1,206,81648
1,207,81648
1,208,81648
1,209,95948
1,210,81436
1,211,81648
1,212,81648
1,213,81648
1,214,81648
1,215,81648
1,216,81648
1,217,81436
1,218,81436
1,219,81436
1,220,81436
