a,b,completion
0,0,0
1,0,0
1,1,1
2,0,0
2,1,2
2,2,2
3,0,0
3,1,3
3,2,3
3,3,3
4,0,0
4,1,4
4,2,4
4,3,1
4,4,4
5,0,0
5,1,5
5,2,10
5,3,15
5,4,20
5,5,10
6,0,0
6,1,6
6,2,4
6,3,6
6,4,24
6,5,30
6,6,36
7,0,7
7,1,7
7,2,14
7,3,21
7,4,28
7,5,28
7,6,42
7,7,28
8,0,8
8,1,8
8,2,4
8,3,8
8,4,16
8,5,40
8,6,24
8,7,28
8,8,32
9,0,0
9,1,9
9,2,9
9,3,9
9,4,36
9,5,45
9,6,36
9,7,21
9,8,64
9,9,9
10,0,0
10,1,10
10,2,20
10,3,30
10,4,20
10,5,50
10,6,30
10,7,28
10,8,80
10,9,90
10,10,100
11,0,11
11,1,11
11,2,11
11,3,33
11,4,11
11,5,55
11,6,66
11,7,28
11,8,64
11,9,81
11,10,100
11,11,111
12,0,0
12,1,12
12,2,4
12,3,6
12,4,16
12,5,60
12,6,36
12,7,42
12,8,64
12,9,36
12,10,100
12,11,121
12,12,48
13,0,0
13,1,13
13,2,13
13,3,33
13,4,13
13,5,13
13,6,33
13,7,28
13,8,32
13,9,39
13,10,13
13,11,111
13,12,60
13,13,52
14,0,0
14,1,14
14,2,4
14,3,14
14,4,28
14,5,14
14,6,42
14,7,14
14,8,56
14,9,42
14,10,140
14,11,56
14,12,56
14,13,56
14,14,56
15,0,0
15,1,15
15,2,5
15,3,45
15,4,40
15,5,75
15,6,30
15,7,42
15,8,80
15,9,45
15,10,100
15,11,55
15,12,60
15,13,65
15,14,56
15,15,75
16,0,0
16,1,16
16,2,8
16,3,9
16,4,32
16,5,80
16,6,96
16,7,56
16,8,64
16,9,81
16,10,160
16,11,66
16,12,64
16,13,64
16,14,56
16,15,64
16,16,256
17,0,0
17,1,17
17,2,17
17,3,17
17,4,17
17,5,17
17,6,34
17,7,17
17,8,56
17,9,17
17,10,170
17,11,77
17,12,84
17,13,113
17,14,56
17,15,85
17,16,64
17,17,17
18,0,0
18,1,18
18,2,8
18,3,9
18,4,48
18,5,90
18,6,36
18,7,42
18,8,64
18,9,81
18,10,180
18,11,111
18,12,72
18,13,81
18,14,84
18,15,75
18,16,64
18,17,6
18,18,144
19,0,19
19,1,19
19,2,19
19,3,19
19,4,56
19,5,19
19,6,19
19,7,19
19,8,64
19,9,81
19,10,19
19,11,19
19,12,96
19,13,19
19,14,7
19,15,69
19,16,64
19,17,5
19,18,144
19,19,9
20,0,0
20,1,20
20,2,4
20,3,60
20,4,80
20,5,100
20,6,60
20,7,56
20,8,80
20,9,90
20,10,100
20,11,110
20,12,80
20,13,130
20,14,140
20,15,100
20,16,512
20,17,100
20,18,144
20,19,9
20,20,400
21,0,0
21,1,21
21,2,21
21,3,21
21,4,56
21,5,21
21,6,21
21,7,21
21,8,56
21,9,21
21,10,210
21,11,21
21,12,84
21,13,105
21,14,7
21,15,105
21,16,64
21,17,7
21,18,126
21,19,9
21,20,400
21,21,21
22,0,0
22,1,22
22,2,4
22,3,66
22,4,32
22,5,22
22,6,44
22,7,42
22,8,64
22,9,66
22,10,220
22,11,110
22,12,112
22,13,132
22,14,112
22,15,110
22,16,64
22,17,7
22,18,132
22,19,7
22,20,400
22,21,210
22,22,4
23,0,0
23,1,23
23,2,23
23,3,63
23,4,23
23,5,23
23,6,45
23,7,42
23,8,56
23,9,45
23,10,230
23,11,111
23,12,120
23,13,113
23,14,7
23,15,7
23,16,64
23,17,5
23,18,6
23,19,9
23,20,100
23,21,7
23,22,864
23,23,23
24,0,0
24,1,24
24,2,8
24,3,12
24,4,16
24,5,120
24,6,24
24,7,56
24,8,64
24,9,72
24,10,240
24,11,112
24,12,96
24,13,120
24,14,56
24,15,120
24,16,128
24,17,8
24,18,144
24,19,144
24,20,800
24,21,7
24,22,864
24,23,120
24,24,1
25,0,0
25,1,25
25,2,50
25,3,25
25,4,25
25,5,125
25,6,25
25,7,28
25,8,25
25,9,25
25,10,100
25,11,100
25,12,100
25,13,125
25,14,7
25,15,125
25,16,64
25,17,100
25,18,100
25,19,9
25,20,400
25,21,7
25,22,864
25,23,625
25,24,864
25,25,1
26,0,0
26,1,26
26,2,26
26,3,78
26,4,40
26,5,26
26,6,126
26,7,26
26,8,64
26,9,26
26,10,100
26,11,26
26,12,156
26,13,156
26,14,104
26,15,126
26,16,128
26,17,6
26,18,6
26,19,9
26,20,100
26,21,6
26,22,864
26,23,6
26,24,864
26,25,5
26,26,4
27,0,0
27,1,27
27,2,27
27,3,27
27,4,81
27,5,27
27,6,54
27,7,27
27,8,81
27,9,81
27,10,270
27,11,27
27,12,81
27,13,135
27,14,126
27,15,135
27,16,81
27,17,6
27,18,162
27,19,9
27,20,270
27,21,9
27,22,6
27,23,6
27,24,624
27,25,2254
27,26,6
27,27,9
28,0,0
28,1,28
28,2,56
28,3,28
28,4,112
28,5,28
28,6,56
28,7,28
28,8,448
28,9,28
28,10,280
28,11,28
28,12,112
28,13,7
28,14,784
28,15,280
28,16,128
28,17,7
28,18,784
28,19,7
28,20,280
28,21,7
28,22,864
28,23,7
28,24,864
28,25,7
28,26,864
28,27,7
28,28,112
29,0,0
29,1,29
29,2,29
29,3,29
29,4,29
29,5,29
29,6,29
29,7,29
29,8,29
29,9,29
29,10,29
29,11,29
29,12,144
29,13,4
29,14,7
29,15,5
29,16,128
29,17,5
29,18,576
29,19,519
29,20,528
29,21,7
29,22,7
29,23,5
29,24,864
29,25,5
29,26,5
29,27,5
29,28,528
29,29,2929
30,0,0
30,1,30
30,2,30
30,3,30
30,4,60
30,5,30
30,6,30
30,7,210
30,8,30
30,9,30
30,10,300
30,11,210
30,12,60
30,13,210
30,14,210
30,15,150
30,16,240
30,17,150
30,18,180
30,19,9
30,20,600
30,21,210
30,22,8
30,23,6
30,24,240
30,25,150
30,26,1230
30,27,6
30,28,720
30,29,6
30,30,600
31,0,0
31,1,31
31,2,31
31,3,63
31,4,16
31,5,31
31,6,21
31,7,31
31,8,31
31,9,31
31,10,31
31,11,111
31,12,252
31,13,6
31,14,7
31,15,6
31,16,64
31,17,7
31,18,6
31,19,9
31,20,100
31,21,7
31,22,7
31,23,6
31,24,1296
31,25,5
31,26,6
31,27,6
31,28,7
31,29,6
31,30,6
31,31,6
32,0,0
32,1,32
32,2,16
32,3,16
32,4,16
32,5,32
32,6,96
32,7,32
32,8,64
32,9,64
32,10,32
32,11,32
32,12,64
32,13,32
32,14,64
32,15,64
32,16,128
32,17,128
32,18,128
32,19,864
32,20,320
32,21,7
32,22,864
32,23,864
32,24,512
32,25,864
32,26,864
32,27,648
32,28,128
32,29,7
32,30,240
32,31,8
32,32,1024
33,0,0
33,1,33
33,2,33
33,3,33
33,4,33
33,5,33
33,6,33
33,7,33
33,8,33
33,9,33
